domain,scraped_url,company_name,num_employees,parent_company,annual_sales
01net.com,www.01net.com,NEXTINTERACTIVE,184,NEXT RADIO TV,30.27M
20minutes.fr,www.20minutes.fr,20 MINUTES FRANCE,200,NA,22.53M
20minutos.es,www.20minutos.es,ADEVINTA HOLDCO SPAIN SL.,400,Adevinta Netherlands N.V.,181.93K
24tv.ua,24tv.ua,"TELERADIOKOMPANIYA LYUKS, AT",20,NA,4.10M
3news.com,www.3news.com,3NEWS,15,NA,1.35M
abc.net.au,www.abc.net.au,AUSTRALIAN BROADCASTING CORPORATION,3279,NA,0.71B
online-go.com,www.online-go.com,"Online-Go.com, Inc",1,NA,27.98K
abendblatt.de,www.abendblatt.de,Bergedorfer Buchdruckerei von Ed. Wagner GmbH,35,FUNKE Medien Hamburg GmbH,6.76M
abovetopsecret.com,www.abovetopsecret.com,"Km17629, LLC",6,NA,64.48K
abqjournal.com,www.abqjournal.com,Albuquerque Publishing Company,558,"Gannett Co., Inc.",73.55M
accuweather.com,corporate.accuweather.com,"Accuweather, Inc.",320,NA,58.72M
ad.nl,www.ad.nl,A.D. Schilderwerken,1,NA,305.95K
adelaidenow.com.au,www.adelaidenow.com.au.ezproxy.library.tufts.edu,ADVERTISER NEWSPAPERS PTY LIMITED,4491,THE HERALD AND WEEKLY TIMES PTY LIMITED,1.06B
adnkronos.com,www.adnkronos.com,ADN-KRONOS SPA AGENZIA GIORNALISTICA DI INFORMAZIONI,96,GMC GIUSEPPE MARRA COMMUNICATIONS SOCIETA' IN ACCOMANDITA PER AZIONI DI GIUSEPPE PASQUALE MARRA,24.15M
adweek.com,www.adweek.com.ezproxy.library.tufts.edu,Adweek LLC,3,NA,5.32M
aemet.es,www.aemet.es,AGENCIA ESTATAL DE METEOROLOGIA,6,NA,0.83M
afr.com,www.afr.com,ACM PRINT COMPANY PTY LTD,5141,ACM PRINT HOLDINGS PTY LTD,137.26M
agi.it,www.agi.it,AGENZIA GIORNALISTICA ITALIA SPA,106,ENI SPA,23.37M
ajc.com,www.ajc.com,AJC.COM,1,NA,34.18K
alarab.co.uk,www.alarab.co.uk,AL ARAB PUBLISHING HOUSE LIMITED,4,NA,213.21K
alarabiya.net,www.alarabiya.net,AL ARABIYA NEWS CHANNEL,31,NA,2.52M
aljazeera.com,www.aljazeera.com,ALJAZEERA MEDIA NETWORK,5000,NA,0.65B
alligator.org,www.alligator.org,Campus Communications Inc,125,NA,0.60M
allure.com,www.allure.com,"Allure Magazine, Inc.",28,NA,1.32M
alquds.co.uk,www.alquds.co.uk,AL-QUDS AL-ARABI PUBLISHING AND ADVERTISING (OVERSEAS) LIMITED,25,NA,169.21K
alternet.org,www.alternet.org,Independent Media Institute,16,NA,1.63M
america24.com,www.america24.com,IL Sole 24 Ore U.S.A. Inc.,5,NA,226.90K
ansa.it,www.ansa.it,AGENZIA ANSA AGENZIA NAZIONALE STAMPA ASSOCIATA SOC COOP,437,NA,74.20M
ap.org,www.ap.org,ASSOCIATED PRESS TELEVISION NEWS LIMITED,373,The Associated Press,119.82M
arkansasonline.com,www.arkansasonline.com,"Arkansas Democrat-Gazette, Inc.",779,"Wehco Newspapers, Inc.",98.28M
arktimes.com,www.arktimes.com,"Arkansas Times, Inc.",131,NA,14.82M
arstechnica.com,www.arstechnica.com,"ARS Technica, LLC",8,NA,90.21K
as.com,www.as-com.biz,as.com GmbH,2,NA,222.18K
askmen.com,www.askmen.com,Askmen.com Internet Solutions Ltd,15,NA,2.37M
aspentimes.com,www.aspentimes.com,"Before The Grind U.S.A., Inc",12,NA,1M
atlantico.fr,www.atlantico.fr,ATLANTICO,48,NA,24.96M
austinchronicle.com,www.austinchronicle.com,Austin Chronicle Corporation,55,NA,10.22M
